year,rank,league,gpa,weight
2016,1,Gotham,948.14,7.02
2016,2,Victoria,855.96,6.34
2016,3,London,817.70,6.05
2016,4,Rose City,816.45,6.05
2016,5,Texas,689.22,5.10
2016,6,Jacksonville,673.05,4.98
2016,7,Angel City,660.13,4.89
2016,8,Denver,641.81,4.75
2016,9,Bay Area,637.88,4.72
2016,10,Arch Rival,608.50,4.51
2016,11,Philly,573.35,4.25
2016,12,Minnesota,569.58,4.22
2016,13,Rat City,539.09,3.99
2016,14,Montréal,504.20,3.73
2016,15,Atlanta,491.15,3.64
2016,16,Rocky Mountain,483.76,3.58
2016,17,Dallas,472.20,3.50
2016,18,Crime City,471.85,3.49
2016,19,Stockholm,458.11,3.39
2016,20,Tampa,440.59,3.26
2016,21,Des Moines,438.22,3.24
2016,22,Boston,429.26,3.18
2016,23,Sun State,405.91,3.01
2016,24,Detroit,404.23,2.99
2016,25,No Coast,402.95,2.98
2016,26,Terminal City,398.81,2.95
2016,27,Columbia QS,391.15,2.90
2016,28,Steel City,388.52,2.88
2016,29,Helsinki,388.24,2.87
2016,30,Nashville,379.26,2.81
2016,31,Charm City,376.51,2.79
2016,32,Naptown,371.41,2.75
2016,33,Queen City,370.85,2.75
2016,34,Pikes Peak,369.09,2.73
2016,35,Sacred City,368.52,2.73
2016,36,Boulder County,357.34,2.65
2016,37,Santa Cruz,356.32,2.64
2016,38,Emerald City,351.59,2.60
2016,39,Madison,350.69,2.60
2016,40,Charlottesville,350.05,2.59
2016,41,Ohio,349.62,2.59
2016,42,Chicago Outfit,345.16,2.56
2016,43,Sac City,339.92,2.52
2016,44,Houston,338.31,2.51
2016,45,Kansas City,333.54,2.47
2016,46,Oly,326.92,2.42
2016,47,Tri-City,324.16,2.40
2016,48,Auld Reekie,323.82,2.40
2016,49,Arizona,323.55,2.40
2016,50,Tucson,323.53,2.40
2016,51,Wasatch,323.01,2.39
2016,52,Jet City,321.87,2.38
2016,53,Bear City,317.61,2.35
2016,54,Toronto,316.95,2.35
2016,55,Ottawa Valley,311.55,2.31
2016,56,St. Chux,301.23,2.23
2016,57,Brandywine,299.21,2.22
2016,58,Demolition,296.23,2.19
2016,59,Brewcity,294.57,2.18
2016,60,Ann Arbor,293.40,2.17
2016,61,Treasure Vall,289.26,2.14
2016,62,Windy City,284.95,2.11
2016,63,Grand Raggidy,281.31,2.08
2016,64,Calgary,269.50,2.00
2016,65,Paradise City,269.19,1.99
2016,66,OK Victory,265.96,1.97
2016,67,Glasgow,261.38,1.94
2016,68,Sin City,256.88,1.90
2016,69,Kallio,254.60,1.89
2016,70,Carolina,254.38,1.88
2016,71,Cincinnati,247.83,1.84
2016,72,North Star,247.47,1.83
2016,73,Burning River,245.50,1.82
2016,74,Fort Myers,241.99,1.79
2016,75,Green Mountain,240.06,1.78
2016,76,Ithaca,232.72,1.72
2016,77,Maine,225.73,1.67
2016,78,Blue Ridge,221.89,1.64
2016,79,DuPage,220.13,1.63
2016,80,Roc City,218.79,1.62
2016,81,Kalamazoo,217.32,1.61
2016,82,DC,215.65,1.60
2016,83,Rainy City,214.31,1.59
2016,84,Old Cap City,212.33,1.57
2016,85,Nidaros,209.64,1.55
2016,86,Ft. Wayne,209.01,1.55
2016,87,Omaha,208.99,1.55
2016,88,Suburbia,207.57,1.54
2016,89,NW Arkansas,203.00,1.50
2016,90,Québec,202.42,1.50
2016,91,Leeds,200.07,1.48
2016,92,Sioux City,199.72,1.48
2016,93,Royal City,199.67,1.48
2016,94,Twin City IL,198.21,1.47
2016,95,San Fernando,197.63,1.46
2016,96,Tiger Bay,197.42,1.46
2016,97,Undead,196.89,1.46
2016,98,Sydney,196.64,1.46
2016,99,Crossroads,195.25,1.45
2016,100,Garden State,195.20,1.45
2016,101,Providence,189.26,1.40
2016,102,Memphis,183.46,1.36
2016,103,Lansing,182.64,1.35
2016,104,Salisbury,180.59,1.34
2016,105,Junction City,178.67,1.32
2016,106,Pirate City,176.50,1.31
2016,107,Muddy River,175.21,1.30
2016,108,Gem City,175.14,1.30
2016,109,Winnipeg,172.82,1.28
2016,110,ICT,172.38,1.28
2016,111,Greensboro,171.60,1.27
2016,112,Charlotte,168.54,1.25
2016,113,Lowcountry,168.32,1.25
2016,114,Cherry City,167.10,1.24
2016,115,Cornfed,164.36,1.22
2016,116,Red Stick,160.88,1.19
2016,117,Cape Fear,160.38,1.19
2016,118,V Town,160.20,1.19
2016,119,Big Easy,159.17,1.18
2016,120,Newcastle UK,159.05,1.18
2016,121,Derby City,159.03,1.18
2016,122,Dub City,158.38,1.17
2016,123,OK City,157.34,1.17
2016,124,Grtr Vancouver,157.12,1.16
2016,125,Hard Knox,156.17,1.16
2016,126,Granite State,151.92,1.12
2016,127,Hammer City,151.62,1.12
2016,128,Central NY,151.25,1.12
2016,129,Lehigh Valley,148.39,1.10
2016,130,Rage City,146.59,1.09
2016,131,Paris,145.85,1.08
2016,132,North Texas,145.56,1.08
2016,133,Shasta,144.68,1.07
2016,134,Bellingham,143.92,1.07
2016,135,Canberra,143.37,1.06
2016,136,Akron,142.15,1.05
2016,137,Fargo,141.72,1.05
2016,138,Lava City,138.58,1.03
2016,139,Middlesbrough,137.50,1.02
2016,140,Tragic City,137.14,1.02
2016,141,Long Island,136.69,1.01
2016,142,Duke City,136.24,1.01
2016,143,Perth,135.97,1.01
2016,144,Cheyenne,135.45,1.00
2016,145,Peach State,135.09,1.00
2016,146,Mid-State,135.05,1.00
2016,147,Dock City,134.64,1.00
2016,148,Mo-Kan,134.24,0.99
2016,149,Central City,134.09,0.99
2016,150,Adelaide,133.49,0.99
2016,151,Dublin,133.12,0.99
2016,152,Connecticut,131.60,0.97
2016,153,Gothenburg,131.41,0.97
2016,154,Classic City,130.28,0.96
2016,155,Rainier,129.85,0.96
2016,156,Richter City,129.19,0.96
2016,157,Fox Cities,128.73,0.95
2016,158,Sonoma County,128.27,0.95
2016,159,Dominion,126.92,0.94
2016,160,Unforgiven,126.24,0.93
2016,161,RnR Queens,126.16,0.93
2016,162,Bakersfld Diam,124.78,0.92
2016,163,Appalachian,123.04,0.91
2016,164,Copenhagen,122.43,0.91
2016,165,Dutchland,122.23,0.91
2016,166,Prairieland,121.60,0.90
2016,167,SoCo,120.41,0.89
2016,168,Stuttgart,118.97,0.88
2016,169,Chattanooga,118.88,0.88
2016,170,FOCO,118.74,0.88
2016,171,Happy Valley,117.37,0.87
2016,172,Monterey Bay,116.82,0.87
2016,173,Molly Roger,116.69,0.86
2016,174,Durango,116.53,0.86
2016,175,Dark River,116.18,0.86
2016,176,Bleeding Heart,115.91,0.86
2016,177,Oslo,114.93,0.85
2016,178,Royal Windsor,114.92,0.85
2016,179,Border City,114.23,0.85
2016,180,580,114.05,0.84
2016,181,New Jersey,114.03,0.84
2016,182,Nottingham,112.91,0.84
2016,183,Black Rose,112.50,0.83
2016,184,Harbor City,112.46,0.83
2016,185,Cen-Tex,110.80,0.82
2016,186,Antwerp,110.11,0.82
2016,187,Mother State,108.80,0.81
2016,188,Rock Coast,108.30,0.80
2016,189,Ventura,107.65,0.80
2016,190,Bay State,107.08,0.79
2016,191,Forest City,106.68,0.79
2016,192,Gold Coast,106.54,0.79
2016,193,Nantes,106.00,0.78
2016,194,Bakersfld Rev,105.71,0.78
2016,195,Go-Go Gent,105.69,0.78
2016,196,River Valley,105.64,0.78
2016,197,Ark Valley,103.97,0.77
2016,198,Tallahassee,103.32,0.77
2016,199,Hogtown,102.34,0.76
2016,200,Cajun,101.81,0.75
2016,201,Cedar Valley,101.80,0.75
2016,202,Roughneck,101.65,0.75
2016,203,Humboldt,101.11,0.75
2016,204,Amsterdam,100.98,0.75
2016,205,Cedar Rapids,100.91,0.75
2016,206,Magnolia,100.71,0.75
2016,207,Mass Attack,100.24,0.74
2016,208,Hartford,99.64,0.74
2016,209,Richland Co,99.47,0.74
2016,210,Alamo City,98.84,0.73
2016,211,Coeur d'Alene,97.56,0.72
2016,212,Rocket City,96.78,0.72
2016,213,Worcester,95.69,0.71
2016,214,CoMo,95.32,0.71
2016,215,Muscogee,94.70,0.70
2016,216,Shore Points,94.66,0.70
2016,217,Northside,93.63,0.69
2016,218,Rockin' City,93.47,0.69
2016,219,Springfield,93.15,0.69
2016,220,Juneau,92.63,0.69
2016,221,Rock Town,92.47,0.68
2016,222,Silicon Valley,89.44,0.66
2016,223,Miss Valley,89.25,0.66
2016,224,Pensacola,89.09,0.66
2016,225,So Illinois,88.51,0.66
2016,226,London Rockin,87.54,0.65
2016,227,Albany US,86.83,0.64
2016,228,Mason-Dixon,86.36,0.64
2016,229,Mississippi,86.09,0.64
2016,230,Sioux Falls,84.17,0.62
2016,231,Quad City,82.72,0.61
2016,232,Fredericksburg,81.98,0.61
2016,233,Vienna,81.04,0.60
2016,234,West Coast,79.22,0.59
2016,235,Jersey Shore,78.89,0.58
2016,236,WB-Scranton,78.68,0.58
2016,237,Little City,77.64,0.57
2016,238,HV Horrors,76.66,0.57
2016,239,River City,76.56,0.57
2016,240,Circle City,76.54,0.57
2016,241,West Texas,73.78,0.55
2016,242,South Sea,72.80,0.54
2016,243,Enid,72.63,0.54
2016,244,Jerzey Derby,72.58,0.54
2016,245,Hellions Troy,72.31,0.54
2016,246,Chippewa,71.80,0.53
2016,247,Savannah,71.63,0.53
2016,248,Glass City,71.61,0.53
2016,249,Soul City,70.97,0.53
2016,250,Harrisburg,70.87,0.52
2016,251,New Hampshire,70.75,0.52
2016,252,Assassination,70.20,0.52
2016,253,South Bend,69.87,0.52
2016,254,A'Salt Creek,69.64,0.52
2016,255,Confluence,69.56,0.52
2016,256,Paradise,69.20,0.51
2016,257,Castle Rock,69.14,0.51
2016,258,Greenville,67.91,0.50
2016,259,Little Steel,66.25,0.50
2016,260,Rocktown,66.11,0.50
2016,261,Western Aus,65.85,0.50
2016,262,Kaiserslautern,63.30,0.50
2016,263,Chem Valley,61.99,0.50
2016,264,State College,61.55,0.50
2016,265,Black n Blue,61.23,0.50
2016,266,Central Coast,60.92,0.50
2016,267,Gainesville,60.36,0.50
2016,268,Metz,58.70,0.50
2016,269,Renegade,57.27,0.50
2016,270,Pacific,56.85,0.50
2016,271,Waimea,52.77,0.50
2016,272,Belfast,52.68,0.50
2016,273,Diamond State,50.09,0.50
2016,274,Okinawa,50.01,0.50
2016,275,Slaughterhouse,49.69,0.50
2016,276,Acadiana,48.98,0.50
2016,277,Devil Dog,44.92,0.50
2016,278,Whidbey,44.69,0.50
2016,279,Spindletop,42.39,0.50
2016,280,Vette City,40.12,0.50
2016,281,Cen Kentucky,39.49,0.50
2016,282,Tokyo,37.61,0.50
2016,283,El Paso,36.62,0.50
